total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_win,avg_loss,largest_win,largest_loss,profit_factor,max_drawdown,final_balance,return_pct,sharpe_ratio,params
409,216,193,0.5281173594132029,56179.99999999967,2562.8240740740735,-2577.1502590673585,9939.999999999998,-10750.0,1.1129495968957952,60230.000000000044,106179.99999999967,112.35999999999933,0.5283126124915813,"{'vwap_period': 25, 'stddev_mult': 1.5, 'stop_loss_ticks': 30, 'target_ticks': 15}"
408,214,194,0.5245098039215687,50409.999999999665,2574.953271028037,-2580.56701030928,9939.999999999998,-10750.0,1.100693126660407,60230.000000000044,100409.99999999964,100.81999999999927,0.4967687418519268,"{'vwap_period': 25, 'stddev_mult': 1.5, 'stop_loss_ticks': 30, 'target_ticks': 20}"
409,214,195,0.5232273838630807,50349.999999999665,2558.5981308411206,-2549.692307692309,9939.999999999998,-10750.0,1.1012691325247883,60230.0000000001,100349.99999999958,100.69999999999915,0.4890972717899142,"{'vwap_period': 25, 'stddev_mult': 1.5, 'stop_loss_ticks': 25, 'target_ticks': 15}"
408,212,196,0.5196078431372549,48759.999999999694,2612.3113207547162,-2576.7857142857156,9939.999999999998,-10750.0,1.0965448965448958,61880.000000000044,98759.99999999964,97.51999999999927,0.48632918708330475,"{'vwap_period': 25, 'stddev_mult': 1.5, 'stop_loss_ticks': 30, 'target_ticks': 25}"
411,212,199,0.5158150851581509,48389.99999999972,2561.745283018867,-2485.9296482412065,9939.999999999998,-10750.0,1.0978168587022432,60670.00000000019,98389.99999999964,96.77999999999928,0.47859074238183746,"{'vwap_period': 25, 'stddev_mult': 1.5, 'stop_loss_ticks': 20, 'target_ticks': 15}"
220,111,109,0.5045454545454545,49190.000000000044,2772.8828828828828,-2372.477064220183,9849.999999999995,-10199.999999999989,1.1902165506573863,28210.000000000044,99190.00000000007,98.38000000000015,0.46149873752178794,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 30, 'target_ticks': 20}"
220,111,109,0.5045454545454545,49190.000000000044,2772.8828828828828,-2372.477064220183,9849.999999999995,-10199.999999999989,1.1902165506573863,28210.000000000044,99190.00000000007,98.38000000000015,0.46149873752178794,"{'vwap_period': 25, 'stddev_mult': 2.0, 'stop_loss_ticks': 30, 'target_ticks': 15}"
408,212,196,0.5196078431372549,44579.99999999966,2570.8018867924516,-2553.2142857142867,9939.999999999998,-10750.0,1.089083388286073,60230.0000000001,94579.99999999958,89.15999999999914,0.4568647244770822,"{'vwap_period': 25, 'stddev_mult': 1.5, 'stop_loss_ticks': 25, 'target_ticks': 20}"
408,210,198,0.5147058823529411,42929.999999999694,2608.47619047619,-2549.7474747474757,9939.999999999998,-10750.0,1.0850351589581058,61880.0000000001,92929.99999999958,85.85999999999916,0.4463567389713117,"{'vwap_period': 25, 'stddev_mult': 1.5, 'stop_loss_ticks': 25, 'target_ticks': 25}"
410,210,200,0.5121951219512195,42619.99999999971,2574.0952380952376,-2489.7000000000007,9939.999999999998,-10750.0,1.0855926416837365,60670.00000000019,92619.99999999964,85.23999999999927,0.4457339847435762,"{'vwap_period': 25, 'stddev_mult': 1.5, 'stop_loss_ticks': 20, 'target_ticks': 20}"
